mem_bin,clock_bin,alloc_bin,visits,threat_visits,correct,total_decided,threat_ratio,accuracy,dominant_receptor
2,3,3,26,16,15,26,0.6154,0.5769,499
3,2,3,1,0,1,1,0.0000,1.0000,115
3,3,3,20,15,16,20,0.7500,0.8000,252
3,3,4,13,13,10,13,1.0000,0.7692,252
3,3,5,2,2,2,2,1.0000,1.0000,239
3,4,3,1,0,0,1,0.0000,0.0000,239
3,4,4,1,1,1,1,1.0000,1.0000,239
3,4,5,2,1,2,2,0.5000,1.0000,499
3,4,6,1,1,1,1,1.0000,1.0000,239
4,3,3,3,1,2,3,0.3333,0.6667,239
4,3,4,1,0,1,1,0.0000,1.0000,-
4,3,7,1,0,1,1,0.0000,1.0000,-
4,4,4,5,0,5,5,0.0000,1.0000,-
4,4,7,2,0,2,2,0.0000,1.0000,-
4,6,7,1,0,1,1,0.0000,1.0000,-
4,7,6,2,0,1,2,0.0000,0.5000,251
4,7,7,2,0,1,2,0.0000,0.5000,247
5,3,7,1,0,1,1,0.0000,1.0000,-
5,4,4,3,0,3,3,0.0000,1.0000,-
5,5,4,1,0,1,1,0.0000,1.0000,-
5,5,5,1,0,0,1,0.0000,0.0000,251
5,7,7,1,0,1,1,0.0000,1.0000,-
6,5,5,1,0,1,1,0.0000,1.0000,-
6,6,4,1,0,0,1,0.0000,0.0000,247
6,6,5,1,0,0,1,0.0000,0.0000,497
6,7,6,6,0,5,6,0.0000,0.8333,252
